,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
239,Kis Uykusu,-2014,196 min,8.1,88,"50,772",$0.17M,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
240,Bãhubali: The Beginning,-2015,159 min,8.1,N/A,"112,900",$6.74M,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
241,Special Chabbis,-2013,144 min,8.1,N/A,"55,121",$1.08M,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
242,The Grand Budapest Hotel,-2014,99 min,8.1,88,"773,464",$59.10M,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
243,Gone Girl,-2014,149 min,8.1,79,"941,644",$167.77M,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
244,Ôkami kodomo no Ame to Yuki,-2012,117 min,8.1,71,"43,388",N/A,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
245,Hacksaw Ridge,-2016,139 min,8.1,71,"494,291",$67.21M,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
246,12 Years a Slave,-2013,134 min,8.1,96,"680,884",$56.67M,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
247,Guardians of the Galaxy,-2014,121 min,8.1,76,"1,129,415",$333.18M,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
248,Rush,(I) (2013),123 min,8.1,74,"464,810",$26.95M,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
249,Ford v Ferrari,-2019,152 min,8.1,81,"359,032",$117.62M,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
250,Spotlight,(I) (2015),129 min,8.1,93,"455,592",$45.06M,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
251,Song of the Sea,-2014,93 min,8.1,85,"56,907",$0.86M,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world."
252,Kahaani,-2012,122 min,8.1,N/A,"61,945",$1.04M,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
253,Udaan,-2010,134 min,8.1,N/A,"44,524",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
254,The Help,-2011,146 min,8.1,62,"446,381",$169.71M,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
255,Prisoners,-2013,153 min,8.1,70,"669,500",$61.00M,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
256,Mad Max: Fury Road,-2015,120 min,8.1,90,"959,121",$154.06M,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
257,A Wednesday,-2008,104 min,8.1,N/A,"77,618",N/A,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
258,Zack Snyder's Justice League,-2021,242 min,8.1,54,"364,672",N/A,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
259,Gran Torino,-2008,116 min,8.1,72,"757,231",$148.10M,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
260,Nefes: Vatan Sagolsun,-2009,128 min,8.1,N/A,"33,313",N/A,Story of 40-man Turkish task force who must defend a relay station.
261,Dune: Part One,-2021,155 min,8.1,74,"512,127",#238,Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.
262,Hachi: A Dog's Tale,-2009,93 min,8.1,N/A,"275,123",#225,A college professor bonds with an abandoned dog he takes into his home.
263,Mary and Max.,-2009,92 min,8.1,N/A,"173,977",#205,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
264,How to Train Your Dragon,-2010,98 min,8.1,75,"713,212",$217.58M,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
265,The Avengers,-2012,143 min,8.1,69,"1,343,954",$623.28M,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
266,Into the Wild,-2007,148 min,8.1,73,"608,374",$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
267,Lage Raho Munna Bhai,-2006,144 min,8.1,N/A,"46,158",$2.22M,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
268,Rang De Basanti,-2006,167 min,8.1,N/A,"117,822",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
269,Million Dollar Baby,-2004,132 min,8.1,86,"671,136",$100.49M,A determined woman works with a hardened boxing trainer to become a professional.
270,Hotel Rwanda,-2004,121 min,8.1,79,"349,229",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
271,G.O.R.A.,-2003,127 min,8.1,N/A,"61,387",N/A,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
272,Ratatouille,-2007,111 min,8.1,96,"691,857",$206.45M,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
273,Before Sunset,-2004,80 min,8.1,90,"254,944",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
274,Munna Bhai M.B.B.S.,-2003,156 min,8.1,N/A,"79,714",N/A,A gangster sets out to fulfill his father's dream of becoming a doctor.
275,Salinui chueok,-2003,131 min,8.1,82,"169,358",$0.01M,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
276,Pirates of the Caribbean: The Curse of the Black Pearl,-2003,143 min,8.1,63,"1,067,615",$305.41M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
277,The Incredibles,-2004,115 min,8.1,90,"700,284",$261.44M,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
278,Dil Chahta Hai,-2001,183 min,8.1,N/A,"70,844",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
279,Catch Me If You Can,-2002,141 min,8.1,75,"927,312",$164.62M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
280,Amores perros,-2000,154 min,8.1,83,"236,055",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
281,Hera Pheri,-2000,156 min,8.1,N/A,"64,506",N/A,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
282,Sarfarosh,-1999,174 min,8.1,N/A,"25,329",N/A,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
283,"Monsters, Inc.",-2001,92 min,8.1,79,"875,543",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
284,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",-1997,87 min,8.1,N/A,"51,158",N/A,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).
285,Lagaan: Once Upon a Time in India,-2001,224 min,8.1,84,"111,381",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
286,Festen,-1998,105 min,8.1,82,"85,284",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
287,The Iron Giant,-1999,86 min,8.1,85,"185,910",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
288,The Big Lebowski,-1998,117 min,8.1,71,"785,036",$17.50M,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife."
289,Fa Yeung Nin Wah,-2000,98 min,8.1,85,"143,387",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
290,Fargo,-1996,98 min,8.1,85,"659,373",$24.61M,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
291,Underground,-1995,170 min,8.1,79,"57,760",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
292,La haine,-1995,98 min,8.1,N/A,"166,322",$0.31M,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
293,Before Sunrise,-1995,101 min,8.1,77,"295,780",$5.54M,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
294,Trois couleurs: Rouge,-1994,99 min,8.1,100,"100,835",$4.04M,A model discovers a retired judge is keen on invading people's privacy.
295,Andaz Apna Apna,-1994,160 min,8.1,N/A,"52,614",N/A,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
296,In the Name of the Father,-1993,133 min,8.1,84,"170,130",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
297,Groundhog Day,-1993,101 min,8.1,72,"609,233",$70.91M,A self-centered Pittsburgh weatherman finds himself inexplicably trapped in a small town as he lives the same day over and over again.
298,Ba wang bie ji,-1993,171 min,8.1,83,"27,838",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
299,Aladdin,-1992,90 min,8.1,86,"397,336",$217.35M,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
300,Da hong deng long gao gao gua,-1991,125 min,8.1,N/A,"31,979",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
301,Beauty and the Beast,-1991,84 min,8.1,95,"437,310",$218.97M,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
302,Dances with Wolves,-1990,181 min,8.1,72,"256,659",$184.21M,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military."
303,Dom za vesanje,-1988,142 min,8.1,N/A,"30,214",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
304,Dead Poets Society,-1989,128 min,8.1,79,"466,432",$95.86M,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
305,Stand by Me,-1986,89 min,8.1,75,"389,966",$52.29M,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
306,Platoon,-1986,120 min,8.1,92,"403,881",$138.53M,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
307,Jean de Florette,-1986,120 min,8.1,N/A,"25,439",$4.94M,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
308,The Terminator,-1984,107 min,8.1,84,"835,249",$38.40M,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
309,"Paris, Texas",-1984,145 min,8.1,78,"102,827",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
310,Gandhi,-1982,191 min,8.1,79,"226,345",$52.77M,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
311,Fanny och Alexander,-1982,188 min,8.1,100,"62,848",$4.97M,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
312,Blade Runner,-1982,117 min,8.1,84,"742,956",$32.87M,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
313,Stalker,-1979,162 min,8.1,N/A,"130,451",$0.23M,A guide leads two men through an area known as the Zone to find a room that grants wishes.
314,Life of Brian,-1979,94 min,8.1,77,"390,119",$20.05M,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
315,Höstsonaten,-1978,99 min,8.1,N/A,"33,326",N/A,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
316,The Deer Hunter,-1978,183 min,8.1,86,"331,598",$48.98M,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
317,Rocky,-1976,120 min,8.1,70,"555,219",$117.24M,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
318,Network,-1976,121 min,8.1,83,"155,835",#221,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
319,The Message,-1976,177 min,8.1,N/A,"46,610",N/A,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
320,Sholay,-1975,204 min,8.1,N/A,"54,704",N/A,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
321,Jaws,-1975,124 min,8.1,87,"576,833",$260.00M,"When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
322,Barry Lyndon,-1975,185 min,8.1,89,"162,744",#198,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
323,Paper Moon,-1973,102 min,8.1,77,"46,392",$30.93M,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
324,The Exorcist,-1973,122 min,8.1,81,"387,485",$232.91M,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
325,Anand,-1971,122 min,8.1,N/A,"33,349",N/A,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
326,Cool Hand Luke,-1967,127 min,8.1,92,"173,525",$16.22M,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
327,Persona,-1966,85 min,8.1,86,"114,480",#242,A nurse is put in charge of a mute actress and finds that their personae are melding together.
328,Andrei Rublev,-1966,205 min,8.1,N/A,"52,561",$0.10M,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
329,The Sound of Music,-1965,172 min,8.1,63,"223,308",$163.21M,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
330,La battaglia di Algeri,-1966,121 min,8.1,96,"58,576",$0.06M,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
331,The Man Who Shot Liberty Valance,-1962,123 min,8.1,94,"74,394",N/A,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.
332,Jungfrukällan,-1960,89 min,8.1,N/A,"28,666",$1.53M,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
333,Inherit the Wind,-1960,128 min,8.1,75,"29,661",N/A,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
334,Les quatre cents coups,-1959,99 min,8.1,N/A,"114,625",#241,"A young boy, left without attention, delves into a life of petty crime."
335,Ben-Hur,-1959,212 min,8.1,90,"233,565",$74.70M,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
336,Kakushi-toride no san-akunin,-1958,139 min,8.1,89,"38,195",N/A,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
337,Det sjunde inseglet,-1957,96 min,8.1,88,"180,452",#199,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
338,Le notti di Cabiria,-1957,110 min,8.1,N/A,"47,918",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
339,Kumonosu-jô,-1957,110 min,8.1,N/A,"51,064",N/A,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
340,On the Waterfront,-1954,108 min,8.1,91,"151,634",$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
341,Les diaboliques,-1955,117 min,8.1,N/A,"64,954",$1.09M,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
342,Ace in the Hole,-1951,111 min,8.1,72,"35,041",$3.97M,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
343,White Heat,-1949,114 min,8.1,N/A,"32,209",N/A,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
344,The Third Man,-1949,104 min,8.1,97,"168,556",$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
345,The Red Shoes,-1948,135 min,8.1,N/A,"34,096",$10.90M,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
346,The Best Years of Our Lives,-1946,170 min,8.1,93,"62,378",$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
347,The Shop Around the Corner,-1940,99 min,8.1,96,"32,197",$0.20M,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
348,Rebecca,-1940,130 min,8.1,86,"134,116",$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
349,The Grapes of Wrath,-1940,129 min,8.1,96,"90,763",$0.06M,"An Oklahoma family driven off their farm by the poverty and hopelessness of the Dust Bowl joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
350,The Wizard of Oz,-1939,102 min,8.1,92,"386,537",$2.08M,"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
351,Mr. Smith Goes to Washington,-1939,129 min,8.1,73,"113,706",$9.60M,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
352,La Grande Illusion,-1937,113 min,8.1,N/A,"36,038",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
353,It Happened One Night,-1934,105 min,8.1,87,"101,423",$4.36M,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
354,All Quiet on the Western Front,-1930,152 min,8.1,91,"60,462",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
355,The Circus,-1928,72 min,8.1,90,"33,074",N/A,The Tramp finds work and the girl of his dreams at a circus.
356,Sunrise: A Song of Two Humans,-1927,94 min,8.1,N/A,"50,389",$0.54M,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme."
357,Badhaai ho,-2018,124 min,8,N/A,"32,959",N/A,A man is embarrassed when he finds out his mother is pregnant.
358,WolfWalkers,-2020,103 min,8,87,"29,420",N/A,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.
359,Togo,-2019,113 min,8,69,"46,181",N/A,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race."
360,La La Land,-2016,128 min,8,94,"559,302",$151.10M,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
361,Lion,-2016,118 min,8,69,"230,551",$51.74M,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
362,The Martian,-2015,144 min,8,80,"820,904",$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
363,Mommy,(I) (2014),139 min,8,74,"55,483",$3.49M,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
364,Zootopia,-2016,108 min,8,78,"476,210",$341.27M,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
365,Kaguya-hime no monogatari,-2013,137 min,8,89,"44,533",$1.51M,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
366,The Imitation Game,-2014,114 min,8,71,"741,254",$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
367,X-Men: Days of Future Past,-2014,132 min,8,75,"693,362",$233.92M,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
368,Blade Runner 2049,-2017,164 min,8,81,"531,238",$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
369,Her,-2013,126 min,8,91,"585,852",$25.57M,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
370,Bohemian Rhapsody,-2018,134 min,8,49,"510,201",$216.43M,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
371,The Revenant,-2015,156 min,8,76,"770,614",$183.64M,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
372,The Perks of Being a Wallflower,-2012,103 min,8,67,"494,319",$17.74M,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
373,Tropa de Elite 2: O Inimigo Agora é Outro,-2010,115 min,8,71,"82,169",$0.10M,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups."
374,The King's Speech,-2010,118 min,8,88,"667,649",$138.80M,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
375,Deadpool,-2016,108 min,8,65,"985,267",$363.07M,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
376,Darbareye Elly,-2009,119 min,8,87,"52,434",$0.11M,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
377,Dev.D,-2009,144 min,8,N/A,"30,291",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
378,Ip Man,-2008,106 min,8,59,"220,423",N/A,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
379,My Name Is Khan,-2010,165 min,8,50,"104,631",$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
380,Okuribito,-2008,130 min,8,68,"51,392",$1.50M,A newly unemployed cellist takes a job preparing the dead for funerals.
381,CODA,-2021,111 min,8,74,"62,129",N/A,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berklee College of Music and her fear of abandoning her parents."
382,Slumdog Millionaire,-2008,120 min,8,84,"829,863",$141.32M,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
383,Black Swan,-2010,108 min,8,79,"740,931",$106.95M,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
384,Tropa de Elite,-2007,115 min,8,33,"102,367",$0.01M,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits."
385,Persepolis,-2007,96 min,8,90,"93,301",$4.45M,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
386,Star Trek,-2009,127 min,8,82,"596,155",$257.73M,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
387,Dallas Buyers Club,-2013,117 min,8,79,"473,865",$27.30M,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
388,The Pursuit of Happyness,-2006,117 min,8,64,"490,676",$163.57M,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
389,Blood Diamond,-2006,143 min,8,64,"533,112",$57.37M,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
390,The Bourne Ultimatum,-2007,115 min,8,85,"625,068",$227.47M,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
391,Dare mo shiranai,-2004,141 min,8,88,"27,223",$0.68M,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning."
392,Sin City,-2005,124 min,8,74,"757,617",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
393,Le scaphandre et le papillon,-2007,112 min,8,92,"106,829",$5.99M,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.
394,Taegukgi hwinalrimyeo,-2004,140 min,8,64,"39,351",$1.11M,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
395,Casino Royale,-2006,144 min,8,80,"640,116",$167.45M,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
396,Kill Bill: Vol. 2,-2004,137 min,8,83,"731,705",$66.21M,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
397,Bom yeoreum gaeul gyeoul geurigo bom,-2003,103 min,8,85,"81,761",$2.38M,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
398,Mar adentro,(I) (2004),126 min,8,74,"80,851",$2.09M,"The factual story of Spaniard Ramon Sampedro, who fought a 28 year campaign in favour of euthanasia and his own right to die."
